vendor_id,vendor,category,segment_tag,business_unit,annual_spend_usd,contract_end,renewal_risk,internal_owner,notes
V-101,Corvex Controls,Control platform / DCS,SEG-INDUSTRIAL-DATA,Process Automation,4200000,2027-02-28,High,R. Okonjo,"Core DCS platform across 14 plants; single-vendor dependency flagged in FY25 audit"
V-102,Nexara Robotics,Robotics orchestration SDK,SEG-FLEET-AUTONOMY,Digital & Software,840000,2027-03-31,Medium,L. Varga,"Licensed for the Aurora cell-orchestration pilot; renewed FY26 without competitive review"
V-103,Helio Compute,Cloud infrastructure,SEG-INDUSTRIAL-DATA,Digital & Software,6100000,2028-06-30,Low,D. Whitfield,"Enterprise agreement; committed spend"
V-104,Vantage PLM,Product lifecycle management,,Motion Systems,2350000,2027-09-30,Low,S. Mehta,"Renewal expected; no alternatives evaluated"
V-105,Cindermill Systems,Asset performance management,SEG-PREDICTIVE-MAINT,Energy Systems,1150000,2026-12-31,High,A. Lindqvist,"Deployed on turbine fleet; overlaps our own APM roadmap"
V-106,Sable Lattice,Industrial data fabric,SEG-INDUSTRIAL-DATA,Digital & Software,470000,2027-01-31,Medium,L. Varga,"Evaluation licence extended twice; competes with us at Rhine and Gulf Coast"
V-107,Meridian Shared Services,Internal chargeback,,Corporate,1800000,,Low,Finance,"Internal allocation, not third-party"
V-108,Kestrel Torque,Motion control firmware,SEG-FLEET-AUTONOMY,Motion Systems,215000,2026-11-30,Medium,J. Aturi,"Component-level supply; also bids against us at integrator level"
V-109,Orbital Kiln,Vision inspection hardware,SEG-VISION-QA,Process Automation,395000,2027-07-31,Low,P. Novak,"Hardware supply agreement; we resell with our software layer"
V-110,Northwind Analytics,BI and reporting,,Corporate,880000,2027-04-30,Low,Finance,"Standard reporting stack"
V-111,Volta Sentinel,Condition monitoring sensors,SEG-PREDICTIVE-MAINT,Energy Systems,620000,2028-01-31,Low,A. Lindqvist,"Sensor supply; partnership performing well"
V-112,Praxis Loop,Workflow automation platform,SEG-AGENTIC-OPS,Digital & Software,180000,2026-10-31,High,M. Duarte,"Departmental purchase by Ops; not on the enterprise architecture roadmap"
V-113,Ironvale Logistics,Freight and logistics,,Corporate,9400000,2027-12-31,Low,Supply Chain,"Non-technology spend"
V-114,Stonebridge Consulting,Systems integration,,Process Automation,3100000,2027-06-30,Medium,R. Okonjo,"Implementation partner for Corvex deployments"
V-115,Argent Flow,Unified namespace middleware,SEG-INDUSTRIAL-DATA,Process Automation,155000,2026-11-15,Medium,P. Novak,"Pilot at two plants; competitor at Bahia and Flanders"
V-116,Lumen Safety Systems,Machine safety,,Motion Systems,1240000,2028-03-31,Low,J. Aturi,"Regulatory-driven; stable"
V-117,Bright Anvil,Vision QA software,SEG-VISION-QA,Process Automation,98000,2026-10-31,Low,P. Novak,"Small licence; we usually win against them"
V-118,Hallmark Metals,Raw material supply,,Motion Systems,15600000,2027-08-31,Low,Supply Chain,"Non-technology spend"
V-119,Tessellate Ops,Operations copilot,SEG-AGENTIC-OPS,Digital & Software,124000,2026-12-15,High,M. Duarte,"Shadow IT; discovered during FY26 spend review"
V-120,Cobalt Identity,Identity and access management,,Corporate,760000,2028-02-28,Low,IT Security,"Enterprise standard"
V-121,Ferrous Mind,Robot foundation model API,SEG-PHYSICAL-AI,Digital & Software,310000,2026-10-31,High,L. Varga,"Research licence for the Aurora programme; also beat us at Shenzhen and Saxony"
V-122,Trellis MES,Manufacturing execution,SEG-INDUSTRIAL-DATA,Process Automation,2900000,2027-11-30,Medium,R. Okonjo,"Deeply embedded; migration cost high"
V-123,Halcyon Autonomy,Autonomy stack evaluation,SEG-FLEET-AUTONOMY,Motion Systems,75000,2026-09-30,High,J. Aturi,"Proof-of-concept licence, expiring; POC never formally reviewed"
V-124,Granite Facilities,Facilities management,,Corporate,5200000,2027-05-31,Low,Facilities,"Non-technology spend"
V-125,Aperture Simulation,CAE and simulation,,Motion Systems,1670000,2028-04-30,Low,S. Mehta,"Engineering standard"
V-126,Redgrove Talent,Contract engineering,,Digital & Software,2450000,2027-03-31,Medium,HR,"Augmented staffing for the Aurora programme"
